iter	Passed	Remaining
0	10	10425
1	20	10447
2	30	10284
3	40	10197
4	51	10156
5	61	10136
6	72	10231
7	82	10173
8	91	10073
9	102	10109
10	112	10138
11	123	10205
12	133	10162
13	143	10138
14	154	10129
15	164	10117
16	175	10121
17	185	10114
18	194	10060
19	205	10070
20	215	10056
21	225	10037
22	235	10011
23	245	9976
24	255	9963
25	265	9963
26	276	9964
27	286	9931
28	296	9922
29	305	9892
30	315	9863
31	325	9854
32	335	9832
33	346	9836
34	356	9837
35	367	9840
36	378	9846
37	388	9843
38	399	9844
39	410	9846
40	420	9843
41	431	9838
42	441	9834
43	452	9834
44	463	9830
45	473	9824
46	483	9806
47	494	9803
48	505	9811
49	516	9808
50	526	9799
51	536	9776
52	546	9762
53	556	9747
54	566	9741
55	576	9725
56	586	9706
57	596	9688
58	606	9668
59	616	9659
60	627	9658
61	636	9632
62	647	9624
63	657	9616
64	668	9609
65	678	9597
66	688	9590
67	698	9574
68	708	9553
69	718	9551
70	729	9543
71	740	9538
72	751	9538
73	761	9529
74	771	9520
75	782	9508
76	791	9493
77	802	9480
78	811	9461
79	821	9444
80	830	9427
81	840	9412
82	850	9396
83	860	9383
84	870	9371
85	880	9363
86	890	9346
87	901	9339
88	911	9330
89	921	9313
90	931	9307
91	942	9299
92	952	9287
93	961	9270
94	972	9261
95	981	9245
96	992	9242
97	1003	9233
98	1013	9224
99	1023	9214
100	1033	9195
101	1043	9183
102	1052	9165
103	1062	9152
104	1072	9139
105	1082	9127
106	1092	9120
107	1103	9113
108	1113	9104
109	1123	9086
110	1132	9070
111	1143	9066
112	1153	9054
113	1164	9047
114	1173	9033
115	1183	9015
116	1192	9000
117	1202	8990
118	1212	8979
119	1222	8962
120	1232	8950
121	1241	8937
122	1251	8925
123	1261	8913
124	1271	8897
125	1281	8888
126	1290	8871
127	1299	8855
128	1310	8845
129	1320	8835
130	1331	8831
131	1342	8824
132	1351	8807
133	1361	8796
134	1370	8780
135	1380	8771
136	1390	8757
137	1400	8745
138	1409	8732
139	1419	8719
140	1428	8705
141	1439	8699
142	1450	8692
143	1460	8682
144	1470	8673
145	1480	8662
146	1490	8649
147	1501	8641
148	1512	8638
149	1523	8631
150	1533	8620
151	1543	8609
152	1552	8596
153	1563	8587
154	1575	8587
155	1586	8582
156	1596	8570
157	1606	8559
158	1616	8549
159	1626	8539
160	1636	8528
161	1646	8516
162	1656	8506
163	1666	8495
164	1677	8487
165	1687	8477
166	1696	8463
167	1705	8448
168	1715	8434
169	1726	8430
170	1736	8416
171	1745	8401
172	1754	8388
173	1764	8378
174	1775	8368
175	1785	8357
176	1794	8343
177	1803	8330
178	1812	8315
179	1822	8303
180	1832	8289
181	1841	8277
182	1852	8271
183	1862	8260
184	1874	8256
185	1884	8249
186	1894	8237
187	1904	8225
188	1914	8216
189	1925	8209
190	1935	8199
191	1945	8187
192	1955	8175
193	1965	8164
194	1976	8160
195	1987	8154
196	1997	8143
197	2007	8131
198	2016	8117
199	2027	8108
200	2036	8095
201	2047	8087
202	2057	8078
203	2067	8068
204	2077	8057
205	2086	8043
206	2096	8030
207	2105	8018
208	2115	8006
209	2124	7993
210	2134	7980
211	2143	7966
