time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume,MEXC:open,MEXC:high,MEXC:low,MEXC:close,MEXC:volume,GATEIO:open,GATEIO:high,GATEIO:low,GATEIO:close,GATEIO:volume,KRAKEN:open,KRAKEN:high,KRAKEN:low,KRAKEN:close,KRAKEN:volume
2025-12-07 10:00,2.0291,2.0291,2.0284,2.0287,3895.089957,2.02860000,2.02860000,2.02810000,2.02860000,5808.40000000,,,,,,2.0285,2.029,2.0279,2.0288,8912.82,2.028,2.029,2.028,2.029,80593.17216500,2.02908,2.02908,2.02892,2.02892,87.24827
2025-12-07 10:01,2.0288,2.0295,2.0288,2.0292,2963.997139,2.02860000,2.02920000,2.02860000,2.02910000,21902.40000000,,,,,,2.0288,2.0294,2.0285,2.0289,11268.69,2.029,2.029,2.028,2.029,90805.74463900,2.02908,2.02908,2.02907,2.02907,30.39951859
2025-12-07 10:02,2.0294,2.0294,2.0286,2.0289,7279.97313,2.02910000,2.02910000,2.02830000,2.02860000,18975.20000000,,,,,,2.0289,2.0291,2.0281,2.0284,11386.99,2.029,2.029,2.028,2.028,102524.74190900,2.02896,2.02897,2.02891,2.02891,23.566290000000002
2025-12-07 10:03,2.0286,2.0286,2.0271,2.0274,9360.080075,2.02860000,2.02860000,2.02680000,2.02720000,9935.40000000,2.0293,2.0293,2.029,2.029,32.0,2.0284,2.0284,2.0264,2.0267,5084.51,2.028,2.028,2.027,2.027,100536.84966100,2.02891,2.02891,2.02733,2.0276,1026.3696
2025-12-07 10:04,2.0272,2.0283,2.0271,2.0283,2201.256639,2.02710000,2.02800000,2.02670000,2.02800000,14845.80000000,,,,,,2.0267,2.0281,2.0265,2.0281,15267.9,2.027,2.028,2.027,2.028,98351.51034000,2.02731,2.02731,2.02731,2.02731,0.82321
2025-12-07 10:05,2.0282,2.0283,2.0279,2.0281,6508.439884,2.02790000,2.02830000,2.02760000,2.02790000,11623.90000000,,,,,,2.0281,2.0284,2.0274,2.0278,9067.78,2.028,2.028,2.027,2.027,49788.03117600,2.02828,2.02828,2.02818,2.02818,39.71494
2025-12-07 10:06,2.0282,2.0284,2.0274,2.0274,2007.121187,2.02780000,2.02820000,2.02690000,2.02700000,13640.80000000,,,,,,2.0278,2.0282,2.0267,2.0268,6597.95,2.028,2.028,2.026,2.027,54185.61008800,2.02823,2.02823,2.0279,2.0279,535.6814899999999
2025-12-07 10:07,2.0273,2.0284,2.027,2.0284,11463.168994,2.02690000,2.02800000,2.02660000,2.02800000,62703.60000000,2.0289,2.0289,2.0289,2.0289,8.0,2.0268,2.0285,2.0264,2.0285,18358.33,2.026,2.028,2.026,2.028,61001.41738900,2.0279,2.0279,2.02789,2.02789,11.560080000000001
2025-12-07 10:08,2.0285,2.0286,2.0284,2.0285,981.257545,2.02810000,2.02850000,2.02810000,2.02810000,4833.80000000,,,,,,2.0285,2.0287,2.028,2.0281,11321.8,2.028,2.029,2.028,2.029,75592.08658900,2.02838,2.02838,2.02838,2.02838,17.40722
2025-12-07 10:09,2.0287,2.0291,2.0281,2.029,8661.573982,2.02810000,2.02910000,2.02800000,2.02900000,5014.90000000,,,,,,2.0281,2.029,2.0277,2.0289,11348.44,2.029,2.029,2.028,2.028,49258.21137500,,,,,0.0
2025-12-07 10:10,2.0291,2.0331,2.0289,2.033,19545.042645,2.02910000,2.03290000,2.02880000,2.03260000,41629.90000000,2.0298,2.0334,2.0298,2.0333,148.0,2.0289,2.0329,2.0287,2.0326,20949.96,2.029,2.032,2.028,2.032,49490.59743800,2.02894,2.03252,2.02894,2.03251,1177.48172
2025-12-07 10:11,2.033,2.0334,2.0323,2.0324,9340.963795,2.03260000,2.03320000,2.03190000,2.03200000,40924.20000000,,,,,,2.0326,2.0333,2.0318,2.0318,19779.47,2.033,2.033,2.032,2.032,50999.67860500,2.03333,2.03335,2.03261,2.03261,178.79639999999998
