time,COINBASE:open,COINBASE:high,COINBASE:low,COINBASE:close,COINBASE:volume,BINANCE:open,BINANCE:high,BINANCE:low,BINANCE:close,BINANCE:volume,BITFINEX:open,BITFINEX:high,BITFINEX:low,BITFINEX:close,BITFINEX:volume,KRAKEN:open,KRAKEN:high,KRAKEN:low,KRAKEN:close,KRAKEN:volume,min_close,max_close,buy_exchange,sell_exchange,spread_close_absolute,spread_close_pct,is_opportunity,is_opportunity_flag,is_real_opportunity,num_exchanges_available,volume_buy_exchange,volume_sell_exchange,min_volume,volume_ratio,max_high,min_low,high_exchange,low_exchange,spread_highlow_absolute,spread_highlow_pct,opportunity_gap,hour,minute,day_of_week,is_weekend,overlap_hours,BINANCE_volatility,BITFINEX_volatility,COINBASE_volatility,KRAKEN_volatility,volatility_avg,volatility_max,volatility_min,price_position_buy_exchange,price_position_sell_exchange,BINANCE_price_change,BITFINEX_price_change,COINBASE_price_change,KRAKEN_price_change,price_change_buy_exchange,price_change_sell_exchange,spread_rolling_std_5,spread_rolling_max_5,spread_rolling_min_5,volume_buy_rolling_std_5,volume_sell_rolling_std_5,opportunities_in_last_5,real_opportunities_in_last_5,spread_range_5,spread_zscore_5,spread_rolling_std_15,spread_rolling_max_15,spread_rolling_min_15,volume_buy_rolling_std_15,volume_sell_rolling_std_15,opportunities_in_last_15,real_opportunities_in_last_15,spread_range_15,spread_zscore_15,spread_rolling_std_30,spread_rolling_max_30,spread_rolling_min_30,volume_buy_rolling_std_30,volume_sell_rolling_std_30,opportunities_in_last_30,real_opportunities_in_last_30,spread_range_30,spread_zscore_30,spread_ma_5,volume_ma_buy_5,volume_ma_sell_5,spread_ema_5,spread_ma_15,volume_ma_buy_15,volume_ma_sell_15,spread_ema_15,spread_ma_30,volume_ma_buy_30,volume_ma_sell_30,spread_ema_30,spread_bb_upper_5,spread_bb_lower_5,spread_bb_position_5,spread_bb_upper_15,spread_bb_lower_15,spread_bb_position_15,spread_bb_upper_30,spread_bb_lower_30,spread_bb_position_30,spread_rate_change,spread_rate_change_pct,spread_rate_acceleration,price_ratio_buy_sell,price_ratio_BINANCE_BITFINEX,price_ratio_BINANCE_COINBASE,price_ratio_BINANCE_KRAKEN,price_ratio_BITFINEX_COINBASE,price_ratio_BITFINEX_KRAKEN,price_ratio_COINBASE_KRAKEN,avg_price_ratio,max_price_ratio,min_price_ratio,price_ratio_std
2022-03-04 10:00:00,92.27,92.36,92.24,92.29,214.126,92.25,92.38,92.23,92.28,1979.48,92.271,92.271,92.271,92.271,0.03111957,92.24,92.32,92.24,92.29,82.77510357,92.271,92.29,BITFINEX,COINBASE,0.019000000000005457,0.02059151846192786,0,0,0,4,0.03111957,214.126,0.03111957,6880.7506016310645,92.38,92.23,BINANCE,BINANCE,0.14999999999999147,0.16263688604574592,0.14204536758381806,10,0,4,0,0,0.16254876462937956,0.0,0.13002492144328157,0.08668328096218256,0.09481424175871092,0.16254876462937956,0.0,,0.4166666666667456,0.032520325203253264,0.0,0.021675517502991473,0.05420641803990825,0.0,0.021675517502991473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02059151846192786,,,,0.02059151846192786,,,,0.02059151846192786,,,,,,,,,,,,,1.0002059151846192,0.9999024707412224,1.0001083658430863,1.0001083658430863,1.0002059151846192,1.0002059151846192,1.0,1.0000885054661055,1.0002059151846192,0.9999024707412224,0.0001189967138566896
2022-03-04 10:01:00,92.27,92.33,92.24,92.32,858.537,92.27,92.28,92.22,92.28,328.29,,,,,,,,,,0.0,92.28,92.32,BINANCE,COINBASE,0.03999999999999204,0.04334633723449506,0,0,0,2,328.29,858.537,328.29,2.6151786530201955,92.33,92.22,COINBASE,BINANCE,0.10999999999999943,0.11927998265018373,0.07593364541568867,10,1,4,0,0,0.06501950585175799,,0.09748700173310595,,0.08125325379243198,0.09748700173310595,0.06501950585175799,1.0,0.8888888888888362,0.010837758751495737,,0.05418879375744788,,0.010837758751495737,0.05418879375744788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028176458052783595,,,,0.02343587080849876,,,,0.022059571285964454,,,,,,,,,,0.0227548187725672,,,1.0004334633723448,,1.0004334633723448,,,,,1.0004334633723448,1.0004334633723448,1.0004334633723448,
2022-03-04 10:02:00,92.27,92.44,92.2,92.42,368.485,92.28,92.41,92.19,92.36,1707.25,,,,,,92.22,92.34,92.22,92.34,28.0647106,92.34,92.42,KRAKEN,COINBASE,0.0799999999999983,0.08663634394628361,0,0,0,3,28.0647106,368.485,28.0647106,13.12983430515047,92.44,92.19,COINBASE,BINANCE,0.25,0.2711790866688361,0.1845427427225525,10,2,4,0,0,0.23819835426591474,,0.25968405107119114,0.1299545159194331,0.20927897375217966,0.25968405107119114,0.1299545159194331,1.0,0.9166666666666815,0.08669267446900553,,0.16256638127235906,0.13012361743656967,0.13012361743656967,0.16256638127235906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047663086683950265,,,,0.03133592995072186,,,,0.026225814683404403,,,,,,,,,,0.04329000671178855,,0.02053518793922135,1.0008663634394628,,1.0006496318752707,0.9997834560415765,,,0.9991343864964294,0.9998558248044255,1.0006496318752707,0.9991343864964294,0.0007602105418252209
2022-03-04 10:03:00,92.36,92.48,92.35,92.48,374.695,92.36,92.47,92.32,92.46,978.57,92.376,92.376,92.376,92.376,0.03641629,92.35,92.42,92.32,92.42,67.32469039,92.376,92.48,BITFINEX,COINBASE,0.1039999999999992,0.11258335498397765,0,0,0,4,0.03641629,374.695,0.03641629,10289.21397539398,92.48,92.32,COINBASE,BINANCE,0.1600000000000108,0.17331022530330462,0.06072687031932697,10,3,4,0,0,0.1622323166774883,0.0,0.1405709342560658,0.10820168794634119,0.10275123471997383,0.1622323166774883,0.0,,1.0,0.10827197921177384,0.0,0.12992637505414092,0.07579859231186507,0.0,0.12992637505414092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06930317611729273,,,,0.04149185807987883,,,,0.03179726889634461,,,,,,,,,,0.025947011037694034,,-0.017342995674094516,1.0011258335498399,0.9990914990266062,1.00021630975557,0.9995673804888602,1.0011258335498399,1.000476314194163,0.9993512110726643,0.999971424681284,1.0011258335498399,0.9990914990266062,0.0007706786286296441
2022-03-04 10:04:00,92.48,92.5,92.43,92.46,199.901,92.46,92.48,92.4,92.45,335.39,92.508,92.508,92.508,92.508,1.4,92.44,92.44,92.44,92.44,3.763,92.44,92.508,KRAKEN,BITFINEX,0.06799999999999784,0.07356122890523349,0,0,0,4,3.763,1.4,1.4,0.3720435822482062,92.508,92.4,BITFINEX,BINANCE,0.10799999999998988,0.11688311688310593,0.04332188797787244,10,4,4,0,0,0.08653326122228047,0.0,0.0757084144494843,0.0,0.040560418917941196,0.08653326122228047,0.0,,,-0.010815487778488975,0.0,-0.021626297577865734,0.0,0.0,0.0,0.0361217734110842,0.11258335498397765,0.02059151846192786,143.72667827437724,315.69003717459947,0.0,0.0,0.09199183652204979,,,,,,,,,,,,,,,,,,,,0.06734375670638353,72.037049292,363.4486,0.07072252704660631,,,,0.045500529433048165,,,,0.03449171792917616,0.13958730352855192,-0.004899790115784869,,,,,,,,-0.039022126078744154,,-0.06496913711643819,1.0007356122890523,1.0006273661438614,1.0001081665765277,0.9998918334234721,0.999481125956674,0.9992649284386216,0.99978369024443,0.9998595184639312,1.0006273661438614,0.9992649284386216,0.0004806096767025937
2022-03-04 10:05:00,92.47,92.5,92.4,92.46,243.407,92.45,92.46,92.37,92.41,649.9,,,,,,92.41,92.43,92.39,92.39,38.90563024,92.39,92.46,KRAKEN,COINBASE,0.06999999999999318,0.07576577551682344,0,0,0,3,38.90563024,243.407,38.90563024,6.256343837600817,92.5,92.37,COINBASE,BINANCE,0.12999999999999545,0.14073833495723226,0.06497255944040882,10,5,4,0,0,0.09739205713666184,,0.10815487778498196,0.04329472886676724,0.08294722126280368,0.10815487778498196,0.04329472886676724,0.0,0.5999999999999147,-0.043266630611147924,,-0.010814318157245718,-0.02164267936370092,-0.02164267936370092,-0.010814318157245718,0.024977234380090793,0.11258335498397765,0.04334633723449506,139.8570910683908,312.4828274292845,0.0,0.0,0.06923701774948259,,,,,,,,,,,,,,,,,,,,0.07837860811736265,79.81195142600001,369.3048,0.07240360987001203,,,,0.049283685193520076,,,,0.03715456035418566,0.12833307687754425,0.028424139357181064,,,,,,,,0.002204546611589947,,0.0412266726903341,1.0007576577551682,,1.0005410669840926,0.999783573206363,,,0.9992429158555052,0.9998558520153203,1.0005410669840926,0.9992429158555052,0.0006520868483809673
2022-03-04 10:06:00,92.44,92.51,92.44,92.47,143.928,92.41,92.5,92.41,92.45,465.4,,,,,,92.47,92.51,92.47,92.51,41.80041655,92.45,92.51,BINANCE,KRAKEN,0.060000000000002274,0.06489994591671419,0,0,0,3,465.4,41.80041655,41.80041655,0.08981610775676838,92.51,92.41,COINBASE,BINANCE,0.10000000000000853,0.10821339681853535,0.04331345090182116,10,6,4,0,0,0.09734991887507129,,0.0757002271006893,0.04323856880337937,0.07209623825971331,0.09734991887507129,0.04323856880337937,0.4444444444444971,1.0,0.04328535872741722,,0.03245348334054645,0.0432572726289675,0.04328535872741722,0.0432572726289675,0.018418412466709017,0.11258335498397765,0.06489994591671419,200.883670222601,176.83418509002215,0.0,0.0,0.047683409067263455,,,,,,,,,,,,,,,,,,,,0.08268932985380648,107.233951426,205.95748331,0.06990238855224609,,,,0.051235717783919346,,,,0.038944585229187506,0.1195261547872245,0.04585250492038844,,,,,,,,-0.010865829600109247,,-0.013070376211699195,1.0006489994591672,,1.0002163331530556,1.0006489994591672,,,1.0004325727262897,1.0004326351128376,1.0006489994591672,1.0002163331530556,0.0002163331598024829
2022-03-04 10:07:00,92.53,92.56,92.47,92.47,66.658,92.45,92.54,92.45,92.47,348.01,92.579,92.579,92.579,92.579,10.0,92.47,92.51,92.47,92.51,14.178798,92.47,92.579,BINANCE,BITFINEX,0.10899999999999466,0.11787606791391225,0,0,0,4,348.01,10.0,10.0,0.028734806471078417,92.579,92.45,BITFINEX,BINANCE,0.12899999999999068,0.13953488372092016,0.021658815807007903,10,7,4,0,0,0.09732886341516536,0.0,0.09732886341516536,0.04323856880337937,0.05947407390842752,0.09732886341516536,0.0,0.22222222222216959,,0.021633315305566274,0.0,-0.06484383443207854,0.0432572726289675,0.021633315305566274,0.0,0.024414622747059012,0.11787606791391225,0.06489994591671419,219.45918474770255,166.85559520479043,0.0,0.0,0.05297612199719806,,,,,,,,,,,,,,,,,,,,0.08893727464733221,171.223009306,134.26048330999998,0.08589361500613482,,,,0.05956576155016846,,,,0.04403693895078265,0.13776652014145024,0.04010802915321419,,,,,,,,0.05297612199719806,,0.06384195159730731,1.0011787606791391,1.0011787606791391,1.0,1.0004325727262897,0.9988226271616674,0.9992546905885785,1.0004325727262897,1.0000202039803274,1.0011787606791391,0.9988226271616674,0.0008605764091600983
2022-03-04 10:08:00,92.46,92.54,92.44,92.45,200.315,92.47,92.54,92.41,92.45,938.01,92.537,92.537,92.537,92.537,0.51825555,92.44,92.5,92.44,92.5,113.28883071,92.45,92.537,BINANCE,BITFINEX,0.0870000000000033,0.09410492157923558,0,0,0,4,938.01,0.51825555,0.51825555,0.0005525053570857454,92.54,92.41,BINANCE,BINANCE,0.13000000000000966,0.14067741586409443,0.04657249428485885,10,8,4,0,0,0.1406165494862192,0.0,0.10816657652786212,0.06486486486486732,0.07841199771973716,0.1406165494862192,0.0,0.3076923076923329,,-0.02162863631447607,0.0,-0.010815487778488975,0.0649069666810929,-0.02162863631447607,0.0,0.021116179666501398,0.11787606791391225,0.06489994591671419,379.2584494121666,104.211009564001,0.0,0.0,0.05297612199719806,,,,,,,,,,,,,,,,,,,,0.08524158796638379,358.817726048,59.425134420000006,0.08863071719716842,,,,0.06388315655380185,,,,0.04726713137842478,0.12747394729938658,0.04300922863338099,,,,,,,,-0.02377114633467667,,-0.07674726833187473,1.0009410492157924,1.0009410492157924,1.0,1.0005408328826393,0.9990598355252494,0.9996001599360256,1.0005408328826393,1.0001137850737243,1.0009410492157924,0.9990598355252494,0.0006980935608869189
2022-03-04 10:09:00,92.48,92.49,92.4,92.41,353.835,92.45,92.48,92.39,92.43,1025.76,,,,,,92.45,92.48,92.4,92.4,557.05523669,92.4,92.43,KRAKEN,BINANCE,0.030000000000001137,0.0324675324675337,0,0,0,3,557.05523669,1025.76,557.05523669,1.8413972842173156,92.49,92.39,COINBASE,BINANCE,0.09999999999999432,0.10823682216689504,0.07576928969936134,10,9,4,0,0,0.0973709834469365,,0.09739205713666184,0.08658008658008473,0.09378104238789435,0.09739205713666184,0.08658008658008473,0.0,0.4444444444444971,-0.021633315305566274,,-0.07569204152249934,-0.05408328826392337,-0.05408328826392337,-0.021633315305566274,0.03199415549536907,0.11787606791391225,0.0324675324675337,326.8622332506143,437.0392466210703,0.0,0.0,0.08540853544637855,,,,,,,,,,,,,,,,,,,,0.07702284867884382,469.476173386,264.29713442,0.06990965562062351,,,,0.05995620354301833,,,,0.046312318545464075,0.14101115966958194,0.013034537688105682,,,,,,,,-0.061637389111701885,,-0.037866242777025216,1.0003246753246753,,0.9997836200367844,0.9996754300551769,,,0.9998917866031816,0.9997836122317144,0.9998917866031816,0.9996754300551769,0.00010817827421351129
